Id,V162030,V162095,V162096,V162097,V162098,V162099,V162100,V162101,V162102,V162103,V162104,V162105,V162106,V162107,V162108,V162109,V162110,V162111,V162112,V162113,Vote
1,0,60,40,50,60,100,50,50,40,50,40,15,60,100,40,60,30,30,70,30,2
2,0,15,12,5,45,60,70,95,60,40,75,70,20,75,70,75,75,30,55,10,1
3,0,50,70,50,60,70,60,70,70,85,60,60,60,70,70,50,100,60,100,60,1
4,0,85,73,85,85,100,70,85,100,85,100,70,70,100,85,70,98,85,85,85,2
5,0,60,70,55,75,55,65,55,60,60,15,55,70,85,80,3,80,65,70,60,2
6,0,85,70,40,40,85,70,85,40,70,40,70,70,100,85,85,85,70,70,0,1
7,0,50,40,40,70,60,50,100,50,40,30,50,15,100,50,50,85,30,0,15,1
8,0,85,70,60,60,85,85,70,85,60,60,50,60,85,85,50,85,85,100,85,1
9,0,70,100,85,85,85,30,40,50,85,40,50,100,100,100,15,100,100,100,85,2
10,0,85,15,40,70,85,50,50,60,85,60,85,70,85,85,60,85,70,85,1,1
11,0,60,60,40,60,70,40,60,40,40,40,60,60,85,70,50,85,30,75,40,1
12,0,40,70,85,1,70,70,70,60,100,1,70,70,70,70,15,60,70,70,70,2
13,0,60,85,70,16,52,1,40,85,50,60,32,85,100,85,1,99,50,70,50,2
14,0,60,100,85,85,100,50,1,70,85,15,50,85,70,100,1,70,70,85,85,2
15,0,0,79,51,18,73,42,51,42,1,30,17,51,91,51,51,73,2,79,59,2
16,0,86,41,41,40,61,61,96,85,51,42,51,51,99,86,70,93,51,100,1,1
17,0,50,40,40,60,90,40,60,60,70,50,70,60,100,100,50,90,70,70,40,2
18,1,65,65,70,85,65,45,35,40,100,35,25,100,55,88,25,65,100,100,85,2
19,0,50,15,1,40,40,15,50,30,50,40,15,1,50,50,50,60,50,70,40,1
20,0,0,50,50,51,100,50,50,70,70,50,51,70,100,100,50,100,51,70,70,1
21,0,1,100,85,70,85,15,1,60,100,60,15,100,15,50,15,40,100,70,100,2
22,0,17,45,56,61,70,66,56,70,66,40,50,77,85,84,56,70,60,71,70,2
23,0,40,50,50,70,50,30,50,60,50,15,50,50,50,50,50,70,50,60,50,2
24,0,60,69,51,50,71,70,71,70,71,56,58,71,100,70,60,70,50,68,72,1
25,0,62,36,34,33,88,86,91,86,50,42,88,40,85,90,92,97,50,83,34,1
26,0,60,100,100,60,85,70,70,100,100,70,50,100,70,100,70,100,100,100,70,2
27,0,50,50,50,70,70,70,50,70,70,70,50,70,50,50,50,100,70,100,70,2
28,0,1,100,15,50,50,50,30,100,100,30,50,100,50,100,15,50,100,100,100,2
29,0,30,70,70,45,50,40,20,70,85,45,50,70,55,85,15,50,85,85,70,2
30,0,50,41,50,50,50,51,50,51,41,50,50,50,70,50,50,85,41,50,41,1
31,0,85,100,85,85,100,70,100,100,100,60,100,100,100,100,70,85,100,100,70,1
32,0,51,80,46,51,54,50,58,48,30,60,55,54,56,60,61,2,51,48,98,2
33,0,100,1,1,30,100,100,100,70,1,15,100,15,100,100,100,100,1,85,1,1
34,0,10,50,70,50,50,10,40,60,70,1,50,50,50,50,30,100,70,100,10,2
35,0,0,50,50,40,100,50,70,85,50,40,40,70,85,0,50,70,60,100,85,2
36,0,40,50,50,70,50,30,60,40,50,30,50,40,40,50,15,30,50,70,60,2
37,0,99,72,32,52,50,42,92,68,5,30,64,13,99,73,92,86,51,83,2,1
38,0,31,70,85,45,57,40,32,45,59,30,44,52,51,57,33,56,61,67,95,2
39,0,50,70,30,85,50,60,70,70,85,40,50,50,85,85,50,85,50,70,50,1
40,0,50,70,40,65,85,85,70,70,50,60,85,85,85,85,85,95,50,90,1,1
41,0,70,40,15,50,85,50,60,70,15,40,60,30,100,85,70,85,15,50,15,1
42,0,85,15,1,30,100,40,100,30,1,30,60,15,100,100,70,85,1,70,1,1
43,0,50,50,50,50,83,49,51,48,50,48,54,50,50,50,50,51,51,51,51,2
44,0,85,70,50,100,100,30,40,60,70,15,40,60,85,70,1,70,50,85,15,2
45,0,74,57,56,81,71,77,69,57,1,59,31,56,80,69,58,78,1,53,51,2
