Id,V161008,V161009,V161019,V161112,V161126,V161241,V161265x,V161267,V161268,V161270,V161272,V161276x,V161307,V161310x,V161315,V161316,V161322a,V161326,V161329,V161334,V161361x,V162030,V162095,V162096,V162097,V162098,V162099,V162100,V162101,V162102,V162103,V162104,V162105,V162106,V162107,V162108,V162109,V162110,V162111,V162112,V162113,Vote
1,3,3,1,1,4,1,4,49,1,8,9,4,2,5,1,1,0,1,2,1,1,0,60,40,50,60,100,50,50,40,50,40,15,60,100,40,60,30,30,70,30,1
2,5,3,0,1,6,1,5,23,1,10,13,1,2,1,1,1,0,1,1,2,22,0,15,12,5,45,60,70,95,60,40,75,70,20,75,70,75,75,30,55,10,2
3,2,4,0,1,4,1,4,58,4,11,0,1,0,1,1,1,0,1,1,2,17,0,50,70,50,60,70,60,70,70,85,60,60,60,70,70,50,100,60,100,60,2
4,7,4,1,1,99,1,4,90,3,8,0,5,0,5,1,1,0,1,1,4,18,0,85,73,85,85,100,70,85,100,85,100,70,70,100,85,70,98,85,85,85,1
5,7,2,2,1,4,1,2,52,6,9,0,1,2,1,1,1,0,1,2,2,13,0,60,70,55,75,55,65,55,60,60,15,55,70,85,80,3,80,65,70,60,1
6,7,2,0,1,6,1,5,0,1,10,10,5,0,1,1,1,0,1,0,3,0,0,85,70,40,40,85,70,85,40,70,40,70,70,100,85,85,85,70,70,0,2
7,5,3,2,1,6,1,1,66,4,9,0,1,2,1,1,1,0,1,1,2,13,0,50,40,40,70,60,50,100,50,40,30,50,15,100,50,50,85,30,0,15,2
8,4,3,0,1,4,1,4,35,1,10,10,1,3,3,3,3,0,1,1,1,17,0,85,70,60,60,85,85,70,85,60,60,50,60,85,85,50,85,85,100,85,2
9,7,3,0,1,2,1,1,71,6,12,0,5,3,1,1,1,0,1,1,2,11,0,70,100,85,85,85,30,40,50,85,40,50,100,100,100,15,100,100,100,85,1
10,4,3,0,2,5,2,8,36,6,9,8,1,0,1,1,1,0,1,1,4,13,0,85,15,40,70,85,50,50,60,85,60,85,70,85,85,60,85,70,85,1,2
11,5,3,0,1,5,1,4,42,1,10,14,1,3,1,1,1,0,1,1,2,21,0,60,60,40,60,70,40,60,40,40,40,60,60,85,70,50,85,30,75,40,2
12,7,2,1,1,3,2,8,53,1,15,16,1,0,3,3,1,0,1,1,2,28,0,40,70,85,1,70,70,70,60,100,1,70,70,70,70,15,60,70,70,70,1
13,4,3,1,1,99,1,5,51,1,11,10,1,0,1,1,1,0,1,1,2,22,0,60,85,70,16,52,1,40,85,50,60,32,85,100,85,1,99,50,70,50,1
